p_range,seed,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds
100000-120000,123,1000000,0.01,1.0,1369.1803278688521
100000-120000,123,1000000,0.01,24.0,32860.32786885245
100000-120000,123,1000000,0.01,168.0,230022.29508196717
100000-120000,123,1000000,0.05,1.0,3245.9016393442616
100000-120000,123,1000000,0.05,24.0,77901.63934426228
100000-120000,123,1000000,0.05,168.0,545311.4754098359
100000-120000,456,1000000,0.01,1.0,4827.540983606557
100000-120000,456,1000000,0.01,24.0,115860.98360655736
100000-120000,456,1000000,0.01,168.0,811026.8852459016
100000-120000,456,1000000,0.05,1.0,-1062.295081967212
100000-120000,456,1000000,0.05,24.0,-25495.081967213086
100000-120000,456,1000000,0.05,168.0,-178465.5737704916
100000-120000,789,1000000,0.01,1.0,-2195.4098360655735
100000-120000,789,1000000,0.01,24.0,-52689.83606557377
100000-120000,789,1000000,0.01,168.0,-368828.8524590164
100000-120000,789,1000000,0.05,1.0,7022.95081967213
100000-120000,789,1000000,0.05,24.0,168550.81967213113
100000-120000,789,1000000,0.05,168.0,1179855.737704918
100000-120000,123,2000000,0.01,1.0,1513.2203389830506
100000-120000,123,2000000,0.01,24.0,36317.28813559321
100000-120000,123,2000000,0.01,168.0,254221.0169491525
100000-120000,123,2000000,0.05,1.0,-3233.8983050847464
100000-120000,123,2000000,0.05,24.0,-77613.5593220339
100000-120000,123,2000000,0.05,168.0,-543294.9152542374
100000-120000,456,2000000,0.01,1.0,1256.9491525423728
100000-120000,456,2000000,0.01,24.0,30166.77966101694
100000-120000,456,2000000,0.01,168.0,211167.4576271186
100000-120000,456,2000000,0.05,1.0,2684.7457627118642
100000-120000,456,2000000,0.05,24.0,64433.89830508475
100000-120000,456,2000000,0.05,168.0,451037.28813559323
100000-120000,789,2000000,0.01,1.0,5186.440677966101
100000-120000,789,2000000,0.01,24.0,124474.57627118644
100000-120000,789,2000000,0.01,168.0,871322.033898305
100000-120000,789,2000000,0.05,1.0,732.203389830509
100000-120000,789,2000000,0.05,24.0,17572.881355932215
100000-120000,789,2000000,0.05,168.0,123010.1694915255
100000-120000,123,5000000,0.01,1.0,1876.5957446808509
100000-120000,123,5000000,0.01,24.0,45038.297872340416
100000-120000,123,5000000,0.01,168.0,315268.08510638296
100000-120000,123,5000000,0.05,1.0,-842.5531914893625
100000-120000,123,5000000,0.05,24.0,-20221.2765957447
100000-120000,123,5000000,0.05,168.0,-141548.9361702129
100000-120000,456,5000000,0.01,1.0,5361.702127659573
100000-120000,456,5000000,0.01,24.0,128680.85106382974
100000-120000,456,5000000,0.01,168.0,900765.9574468083
100000-120000,456,5000000,0.05,1.0,9421.27659574468
100000-120000,456,5000000,0.05,24.0,226110.63829787236
100000-120000,456,5000000,0.05,168.0,1582774.4680851065
100000-120000,789,5000000,0.01,1.0,-1761.7021276595747
100000-120000,789,5000000,0.01,24.0,-42280.85106382979
100000-120000,789,5000000,0.01,168.0,-295965.9574468086
100000-120000,789,5000000,0.05,1.0,-1021.2765957446819
100000-120000,789,5000000,0.05,24.0,-24510.638297872367
100000-120000,789,5000000,0.05,168.0,-171574.46808510655
100000-120000,123,10000000,0.01,1.0,-1360.0
100000-120000,123,10000000,0.01,24.0,-32640.0
100000-120000,123,10000000,0.01,168.0,-228480.0
100000-120000,123,10000000,0.05,1.0,4453.333333333333
100000-120000,123,10000000,0.05,24.0,106879.99999999999
100000-120000,123,10000000,0.05,168.0,748159.9999999999
100000-120000,456,10000000,0.01,1.0,-1120.0
100000-120000,456,10000000,0.01,24.0,-26880.0
100000-120000,456,10000000,0.01,168.0,-188160.0
100000-120000,456,10000000,0.05,1.0,5573.333333333333
100000-120000,456,10000000,0.05,24.0,133759.99999999997
100000-120000,456,10000000,0.05,168.0,936319.9999999999
100000-120000,789,10000000,0.01,1.0,-1080.0000000000002
100000-120000,789,10000000,0.01,24.0,-25920.000000000004
100000-120000,789,10000000,0.01,168.0,-181440.00000000003
100000-120000,789,10000000,0.05,1.0,-1440.0000000000005
100000-120000,789,10000000,0.05,24.0,-34560.000000000015
100000-120000,789,10000000,0.05,168.0,-241920.00000000006
200000-220000,123,1000000,0.01,1.0,-2326.6881028938906
200000-220000,123,1000000,0.01,24.0,-55840.514469453374
200000-220000,123,1000000,0.01,168.0,-390883.6012861736
200000-220000,123,1000000,0.05,1.0,-5209.003215434084
200000-220000,123,1000000,0.05,24.0,-125016.07717041802
200000-220000,123,1000000,0.05,168.0,-875112.5401929262
200000-220000,456,1000000,0.01,1.0,682.9581993569127
200000-220000,456,1000000,0.01,24.0,16390.996784565905
200000-220000,456,1000000,0.01,168.0,114736.97749196136
200000-220000,456,1000000,0.05,1.0,-11957.556270096464
200000-220000,456,1000000,0.05,24.0,-286981.3504823152
200000-220000,456,1000000,0.05,168.0,-2008869.4533762059
200000-220000,789,1000000,0.01,1.0,-2951.768488745981
200000-220000,789,1000000,0.01,24.0,-70842.44372990353
200000-220000,789,1000000,0.01,168.0,-495897.1061093248
200000-220000,789,1000000,0.05,1.0,5857.234726688103
200000-220000,789,1000000,0.05,24.0,140573.63344051447
200000-220000,789,1000000,0.05,168.0,984015.4340836015
200000-220000,123,2000000,0.01,1.0,-2006.7567567567569
200000-220000,123,2000000,0.01,24.0,-48162.16216216217
200000-220000,123,2000000,0.01,168.0,-337135.13513513515
200000-220000,123,2000000,0.05,1.0,766.2162162162174
200000-220000,123,2000000,0.05,24.0,18389.189189189216
200000-220000,123,2000000,0.05,168.0,128724.32432432454
200000-220000,456,2000000,0.01,1.0,1848.648648648648
200000-220000,456,2000000,0.01,24.0,44367.56756756755
200000-220000,456,2000000,0.01,168.0,310572.9729729729
200000-220000,456,2000000,0.05,1.0,-1556.7567567567573
200000-220000,456,2000000,0.05,24.0,-37362.162162162174
200000-220000,456,2000000,0.05,168.0,-261535.13513513524
200000-220000,789,2000000,0.01,1.0,1556.7567567567564
200000-220000,789,2000000,0.01,24.0,37362.16216216215
200000-220000,789,2000000,0.01,168.0,261535.13513513506
200000-220000,789,2000000,0.05,1.0,583.7837837837839
200000-220000,789,2000000,0.05,24.0,14010.810810810812
200000-220000,789,2000000,0.05,168.0,98075.67567567568
200000-220000,123,5000000,0.01,1.0,1959.0106007067136
200000-220000,123,5000000,0.01,24.0,47016.254416961136
200000-220000,123,5000000,0.01,168.0,329113.7809187279
200000-220000,123,5000000,0.05,1.0,-457.95053003533593
200000-220000,123,5000000,0.05,24.0,-10990.812720848062
200000-220000,123,5000000,0.05,168.0,-76935.68904593644
200000-220000,456,5000000,0.01,1.0,1081.2720848056535
200000-220000,456,5000000,0.01,24.0,25950.530035335687
200000-220000,456,5000000,0.01,168.0,181653.7102473498
200000-220000,456,5000000,0.05,1.0,-4554.063604240283
200000-220000,456,5000000,0.05,24.0,-109297.5265017668
200000-220000,456,5000000,0.05,168.0,-765082.6855123676
200000-220000,789,5000000,0.01,1.0,5482.68551236749
200000-220000,789,5000000,0.01,24.0,131584.45229681974
200000-220000,789,5000000,0.01,168.0,921091.1660777383
200000-220000,789,5000000,0.05,1.0,2785.865724381625
200000-220000,789,5000000,0.05,24.0,66860.777385159
200000-220000,789,5000000,0.05,168.0,468025.44169611303
200000-220000,123,10000000,0.01,1.0,-1111.764705882353
200000-220000,123,10000000,0.01,24.0,-26682.352941176472
200000-220000,123,10000000,0.01,168.0,-186776.4705882353
200000-220000,123,10000000,0.05,1.0,-5188.235294117647
200000-220000,123,10000000,0.05,24.0,-124517.64705882352
200000-220000,123,10000000,0.05,168.0,-871623.5294117647
200000-220000,456,10000000,0.01,1.0,-1270.5882352941176
200000-220000,456,10000000,0.01,24.0,-30494.117647058818
200000-220000,456,10000000,0.01,168.0,-213458.82352941175
200000-220000,456,10000000,0.05,1.0,-5929.411764705882
200000-220000,456,10000000,0.05,24.0,-142305.88235294117
200000-220000,456,10000000,0.05,168.0,-996141.1764705882
200000-220000,789,10000000,0.01,1.0,-1548.5294117647059
200000-220000,789,10000000,0.01,24.0,-37164.70588235294
200000-220000,789,10000000,0.01,168.0,-260152.9411764706
200000-220000,789,10000000,0.05,1.0,-3626.470588235294
200000-220000,789,10000000,0.05,24.0,-87035.29411764706
200000-220000,789,10000000,0.05,168.0,-609247.0588235294
