p,score_mean_oos,n_oos_scores,dies_by_horizon
302837,0.7834576344727437,1,0
304907,0.7834576344727437,1,0
306707,0.7834576344727437,1,0
320081,0.7834576344727437,1,0
336521,0.7834576344727437,1,0
339671,0.7834576344727437,1,0
345601,0.7834576344727437,1,0
345817,0.7834576344727437,1,0
351269,0.7834576344727437,1,1
353747,0.7834576344727437,1,0
366347,0.7834576344727437,1,0
368521,0.7834576344727437,1,1
371417,0.7834576344727437,1,0
383101,0.7834576344727437,1,0
396353,0.7834576344727437,1,1
339161,0.7834576344727435,2,0
393073,0.7834576344727435,2,0
300733,0.7834576344727433,1,0
301333,0.7834576344727433,1,0
301577,0.7834576344727433,1,0
306913,0.7834576344727433,1,1
316493,0.7834576344727433,1,0
319897,0.7834576344727433,1,1
330557,0.7834576344727433,1,1
331613,0.7834576344727433,1,0
348917,0.7834576344727433,1,0
350093,0.7834576344727433,1,0
350737,0.7834576344727433,1,0
354037,0.7834576344727433,1,0
358079,0.7834576344727433,1,0
360637,0.7834576344727433,1,0
363731,0.7834576344727433,1,0
363773,0.7834576344727433,1,1
364961,0.7834576344727433,1,0
366853,0.7834576344727433,1,0
418633,0.7834576344727433,1,0
300583,0.7834576344727432,1,0
374653,0.7834576344727432,1,0
379499,0.7834576344727432,1,0
306871,0.783457634472743,1,1
312679,0.783457634472743,1,0
316531,0.783457634472743,1,0
367097,0.783457634472743,1,1
382061,0.783457634472743,1,0
383987,0.783457634472743,1,0
384227,0.783457634472743,1,0
384359,0.783457634472743,1,0
375457,0.7635073553850736,3,0
393779,0.7635073553850734,3,0
335893,0.7635073553850732,3,0
362381,0.7635073553850732,3,1
387077,0.7635073553850731,3,0
387971,0.7635073553850731,3,0
315617,0.7535322158412388,2,0
316241,0.7535322158412388,2,1
408341,0.7535322158412388,2,0
329677,0.7535322158412385,2,0
344177,0.7535322158412385,2,0
361241,0.7535322158412385,2,1
379081,0.7535322158412385,2,1
409237,0.7535322158412385,2,0
335473,0.7535322158412384,2,0
376889,0.7535322158412384,2,0
304153,0.7535322158412383,2,1
304517,0.7535322158412383,2,0
336437,0.7535322158412383,2,0
340889,0.7535322158412383,2,0
345637,0.7535322158412383,2,0
355847,0.7535322158412383,2,0
357281,0.7535322158412383,2,0
380453,0.7535322158412383,2,0
381373,0.7535322158412383,2,0
394007,0.7535322158412383,2,0
401381,0.7535322158412383,2,0
405701,0.7535322158412383,2,0
415873,0.7535322158412383,2,0
355541,0.7535322158412382,4,0
359441,0.7535322158412382,4,0
308141,0.7535322158412381,2,0
316301,0.7535322158412381,2,0
317021,0.7535322158412381,2,1
326369,0.7535322158412381,2,0
334541,0.7535322158412381,2,0
335507,0.7535322158412381,2,0
339257,0.7535322158412381,2,0
347201,0.7535322158412381,2,0
351041,0.7535322158412381,2,0
352021,0.7535322158412381,2,0
356141,0.7535322158412381,2,0
363269,0.7535322158412381,2,1
366293,0.7535322158412381,2,0
369071,0.7535322158412381,2,0
383549,0.7535322158412381,2,0
384317,0.7535322158412381,2,1
391757,0.7535322158412381,2,0
395513,0.7535322158412381,2,0
306739,0.7535322158412379,2,0
379649,0.7535322158412379,2,1
309977,0.7535322158412376,2,0
403037,0.7535322158412376,4,1
322513,0.7535322158412373,2,0
408437,0.7535322158412372,2,0
369361,0.753532215841237,2,1
414467,0.753532215841237,2,1
309437,0.7435570762974034,3,0
334721,0.7435570762974034,3,0
343661,0.7435570762974034,3,0
375527,0.7435570762974034,3,1
401917,0.7435570762974034,3,0
300961,0.7435570762974032,3,0
339749,0.7435570762974032,3,0
360167,0.7435570762974032,3,1
364657,0.7435570762974032,3,0
393361,0.7435570762974032,3,1
319679,0.7435570762974031,3,0
334513,0.7435570762974031,3,0
341321,0.7435570762974031,3,0
346433,0.7435570762974031,3,0
390281,0.7435570762974031,3,0
308597,0.743557076297403,3,0
308621,0.743557076297403,3,0
311533,0.743557076297403,3,0
318299,0.743557076297403,3,0
319127,0.743557076297403,3,0
330641,0.743557076297403,3,1
338867,0.743557076297403,3,0
339173,0.743557076297403,3,0
354001,0.743557076297403,3,0
391733,0.743557076297403,3,0
409777,0.743557076297403,3,0
409967,0.7435570762974026,3,0
370919,0.7385695065254857,4,0
399577,0.7385695065254857,4,0
331937,0.7385695065254856,4,0
368957,0.7385695065254856,4,0
346397,0.7385695065254855,4,0
363037,0.7385695065254855,4,0
395141,0.7385695065254855,4,0
416797,0.7385695065254855,4,0
366167,0.7385695065254854,4,0
308293,0.7385695065254853,4,0
414521,0.7385695065254848,4,1
367781,0.7355769646623351,5,0
317921,0.735576964662335,5,0
354553,0.7355769646623349,5,0
367721,0.7283164192026779,3,0
363767,0.7283164192026778,3,0
384581,0.7283164192026778,3,0
399101,0.7283164192026773,3,0
371981,0.7271390137044418,4,1
344921,0.7271390137044416,4,0
386161,0.7271390137044416,4,0
321227,0.7271390137044415,4,0
376769,0.7271390137044415,4,0
390413,0.7271390137044415,4,0
334261,0.7264325704055,5,0
347651,0.7264325704054997,5,0
300149,0.7236067972097336,1,0
302551,0.7236067972097336,1,0
302983,0.7236067972097336,1,0
305281,0.7236067972097336,1,0
307651,0.7236067972097336,1,0
310591,0.7236067972097336,1,0
312619,0.7236067972097336,1,0
313679,0.7236067972097336,1,1
316759,0.7236067972097336,1,1
317179,0.7236067972097336,1,0
318077,0.7236067972097336,1,0
319027,0.7236067972097336,1,0
322051,0.7236067972097336,1,0
322583,0.7236067972097336,1,0
322757,0.7236067972097336,1,0
323083,0.7236067972097336,1,0
324319,0.7236067972097336,1,0
324403,0.7236067972097336,1,0
324977,0.7236067972097336,1,0
325309,0.7236067972097336,1,0
326681,0.7236067972097336,1,0
328171,0.7236067972097336,1,0
328829,0.7236067972097336,1,0
330983,0.7236067972097336,1,0
331063,0.7236067972097336,1,0
332573,0.7236067972097336,1,0
333623,0.7236067972097336,1,0
336263,0.7236067972097336,1,0
338207,0.7236067972097336,1,1
338263,0.7236067972097336,1,0
338687,0.7236067972097336,1,0
339761,0.7236067972097336,1,0
340061,0.7236067972097336,1,0
340559,0.7236067972097336,1,0
340601,0.7236067972097336,1,0
343237,0.7236067972097336,1,0
344237,0.7236067972097336,1,1
348437,0.7236067972097336,1,1
348757,0.7236067972097336,1,1
349483,0.7236067972097336,1,0
351773,0.7236067972097336,1,0
354881,0.7236067972097336,1,0
356173,0.7236067972097336,1,0
357179,0.7236067972097336,1,0
358973,0.7236067972097336,1,0
359851,0.7236067972097336,1,0
362347,0.7236067972097336,1,0
363043,0.7236067972097336,1,0
367357,0.7236067972097336,1,0
367711,0.7236067972097336,1,0
369407,0.7236067972097336,1,0
370483,0.7236067972097336,1,0
371131,0.7236067972097336,1,1
373301,0.7236067972097336,1,1
375259,0.7236067972097336,1,0
378509,0.7236067972097336,1,0
378667,0.7236067972097336,1,0
380059,0.7236067972097336,1,0
382229,0.7236067972097336,1,0
383839,0.7236067972097336,1,0
386371,0.7236067972097336,1,0
388301,0.7236067972097336,1,0
388727,0.7236067972097336,1,1
393517,0.7236067972097336,1,1
394981,0.7236067972097336,1,0
398117,0.7236067972097336,1,0
399601,0.7236067972097336,1,0
400237,0.7236067972097336,1,0
402847,0.7236067972097336,1,0
403439,0.7236067972097336,1,0
405091,0.7236067972097336,1,0
407377,0.7236067972097336,1,0
410789,0.7236067972097336,1,0
412123,0.7236067972097336,1,0
413159,0.7236067972097336,1,0
416833,0.7236067972097336,1,0
341647,0.7236067972097334,1,0
300193,0.7236067972097332,2,0
302927,0.7236067972097332,2,0
303379,0.7236067972097332,2,0
303749,0.7236067972097332,2,0
304457,0.7236067972097332,2,0
304831,0.7236067972097332,2,0
307169,0.7236067972097332,2,0
307543,0.7236067972097332,2,0
307733,0.7236067972097332,2,1
310433,0.7236067972097332,2,1
311407,0.7236067972097332,2,0
311603,0.7236067972097332,2,0
312343,0.7236067972097332,2,0
313387,0.7236067972097332,2,0
314497,0.7236067972097332,2,0
314527,0.7236067972097332,2,0
315739,0.7236067972097332,2,0
316033,0.7236067972097332,2,0
316391,0.7236067972097332,2,0
318161,0.7236067972097332,2,1
318211,0.7236067972097332,2,0
319441,0.7236067972097332,2,0
320083,0.7236067972097332,2,0
320113,0.7236067972097332,2,1
321031,0.7236067972097332,2,0
321313,0.7236067972097332,2,0
322039,0.7236067972097332,2,0
326351,0.7236067972097332,2,0
326537,0.7236067972097332,2,0
327079,0.7236067972097332,2,0
329053,0.7236067972097332,2,0
330289,0.7236067972097332,2,0
330731,0.7236067972097332,2,0
331241,0.7236067972097332,2,0
336703,0.7236067972097332,2,0
337153,0.7236067972097332,2,0
337219,0.7236067972097332,2,0
338141,0.7236067972097332,2,0
339091,0.7236067972097332,2,0
340111,0.7236067972097332,2,0
340793,0.7236067972097332,2,0
342319,0.7236067972097332,2,1
343771,0.7236067972097332,2,0
344917,0.7236067972097332,2,0
351749,0.7236067972097332,2,1
352757,0.7236067972097332,2,0
355717,0.7236067972097332,2,0
358201,0.7236067972097332,2,0
362419,0.7236067972097332,2,0
362429,0.7236067972097332,2,0
362969,0.7236067972097332,2,0
369013,0.7236067972097332,2,0
369119,0.7236067972097332,2,0
370813,0.7236067972097332,2,0
371353,0.7236067972097332,2,0
372149,0.7236067972097332,2,0
375149,0.7236067972097332,2,0
375391,0.7236067972097332,2,0
377521,0.7236067972097332,2,0
377981,0.7236067972097332,2,0
378571,0.7236067972097332,2,0
380729,0.7236067972097332,2,0
381737,0.7236067972097332,2,0
383609,0.7236067972097332,2,0
383833,0.7236067972097332,2,0
386041,0.7236067972097332,2,0
387463,0.7236067972097332,2,0
389141,0.7236067972097332,2,0
393797,0.7236067972097332,2,0
394787,0.7236067972097332,2,0
395443,0.7236067972097332,2,1
397973,0.7236067972097332,2,0
400579,0.7236067972097332,2,0
403061,0.7236067972097332,2,1
404017,0.7236067972097332,2,0
405767,0.7236067972097332,2,0
407321,0.7236067972097332,2,0
410411,0.7236067972097332,2,1
414703,0.7236067972097332,2,0
415517,0.7236067972097332,2,0
416677,0.7236067972097332,2,1
417793,0.7236067972097332,2,0
300367,0.7236067972097331,2,0
300877,0.7236067972097331,3,0
301429,0.7236067972097331,2,0
303139,0.7236067972097331,3,0
304739,0.7236067972097331,3,0
308923,0.7236067972097331,3,0
315047,0.7236067972097331,3,0
315199,0.7236067972097331,3,0
317459,0.7236067972097331,2,0
317827,0.7236067972097331,2,0
317831,0.7236067972097331,3,1
318301,0.7236067972097331,3,0
318323,0.7236067972097331,2,0
318407,0.7236067972097331,3,0
319681,0.7236067972097331,3,0
320389,0.7236067972097331,2,0
322939,0.7236067972097331,2,0
324983,0.7236067972097331,2,0
325343,0.7236067972097331,2,0
326083,0.7236067972097331,2,0
327433,0.7236067972097331,3,0
328919,0.7236067972097331,3,0
329191,0.7236067972097331,2,0
330347,0.7236067972097331,3,0
341179,0.7236067972097331,2,0
341273,0.7236067972097331,3,0
344453,0.7236067972097331,3,0
350503,0.7236067972097331,3,0
356549,0.7236067972097331,3,0
356561,0.7236067972097331,3,0
363343,0.7236067972097331,3,0
366277,0.7236067972097331,3,0
370879,0.7236067972097331,3,0
374117,0.7236067972097331,3,0
382351,0.7236067972097331,3,0
384067,0.7236067972097331,3,0
386437,0.7236067972097331,3,1
387047,0.7236067972097331,3,0
388057,0.7236067972097331,3,0
388483,0.7236067972097331,3,0
388777,0.7236067972097331,3,0
389897,0.7236067972097331,3,0
394993,0.7236067972097331,3,0
406547,0.7236067972097331,3,0
407257,0.7236067972097331,3,0
410299,0.7236067972097331,3,0
307201,0.723606797209733,4,0
326563,0.723606797209733,4,0
331423,0.723606797209733,4,0
332411,0.723606797209733,4,0
336977,0.723606797209733,4,0
338237,0.723606797209733,6,0
342197,0.723606797209733,1,1
342547,0.723606797209733,1,0
368609,0.723606797209733,4,0
371071,0.723606797209733,4,0
375113,0.723606797209733,4,0
394363,0.723606797209733,4,0
401909,0.723606797209733,4,0
404671,0.723606797209733,4,0
418799,0.723606797209733,4,0
407657,0.7236067972097329,5,0
300221,0.7236067972097328,1,0
300343,0.7236067972097328,1,0
300557,0.7236067972097328,1,0
300799,0.7236067972097328,1,0
300857,0.7236067972097328,1,0
300893,0.7236067972097328,3,0
301153,0.7236067972097328,1,0
301177,0.7236067972097328,2,0
301243,0.7236067972097328,2,0
301361,0.7236067972097328,1,0
301409,0.7236067972097328,1,0
301711,0.7236067972097328,1,0
301901,0.7236067972097328,3,0
302191,0.7236067972097328,1,0
302587,0.7236067972097328,2,0
302969,0.7236067972097328,1,0
303011,0.7236067972097328,1,0
303053,0.7236067972097328,1,0
303257,0.7236067972097328,1,0
303293,0.7236067972097328,1,0
