t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
0,1000000,5,5.0318481,99.074162,10.031848,99.074162,0.016458547,
1,1000001,5,-1.9226484,240.99822,3.0773516,240.99822,0.017841663,
2,1000002,5,4.9934016,11.969332,9.9934016,11.969332,0.020122914,
3,1000003,5,4.9999187,205.0402,9.9999187,205.0402,0.018185776,
4,1000004,5,4.9790649,196.01407,9.9790649,196.01407,0.018342114,
5,1000005,5,5.0082319,197.98167,10.008232,197.98167,0.01786467,
6,1000006,5,5.0258147,226.08216,10.025815,226.08216,0.016646663,
7,1000007,5,5.0143457,228.99856,10.014346,228.99856,0.021192267,
8,1000008,5,4.9882273,52.00044,9.9882273,52.00044,0.0166436,
9,1000009,5,-39.05796,121.90832,-34.05796,121.90832,0.015395789,
10,1000010,5,4.9829568,-46.067358,9.9829568,-46.067358,0.018656244,
11,1000011,5,5.040658,36.054344,10.040658,36.054344,0.019872905,
12,1000012,5,5.0182293,77.081152,10.018229,77.081152,0.016896888,
13,1000013,5,5.0133437,-241.00989,10.013344,-241.00989,0.017430667,
14,1000014,5,5.0085303,-161.07015,10.00853,-161.07015,0.016173816,
15,1000015,5,5.0245285,106.9337,10.024528,106.9337,0.018043893,
16,1000016,5,5.0009296,-94.036886,10.00093,-94.036886,0.020187228,
17,1000017,5,11.893363,202.01262,16.893363,202.01262,0.01647241,
18,1000018,5,4.9957367,78.97374,9.9957367,78.97374,0.023561552,
19,1000019,5,4.9873434,61.921117,9.9873434,61.921117,0.015688973,
20,1000020,5,4.9739825,137.08131,9.9739825,137.08131,0.023113465,
21,1000021,5,5.0087796,-90.086572,10.00878,-90.086572,0.016634675,
22,1000022,5,4.9838558,245.02288,9.9838558,245.02288,0.018638522,
23,1000023,5,4.978689,-147.98043,9.978689,-147.98043,0.01644731,
24,1000024,5,4.9773659,75.041956,9.9773659,75.041956,0.020995227,
25,1000025,5,4.9073242,237.9795,9.9073242,237.9795,0.019083,
26,1000026,5,5.0032129,136.03746,10.003213,136.03746,0.01796549,
27,1000027,5,5.0261697,63.988663,10.02617,63.988663,0.019764653,
28,1000028,5,18.976439,-69.964726,23.976439,-69.964726,0.018341145,
29,1000029,5,5.0090669,34.035875,10.009067,34.035875,0.018730396,
30,1000030,5,5.0465468,-223.94808,10.046547,-223.94808,0.016651413,
31,1000031,5,37.980732,-113.0201,42.980732,-113.0201,0.018196099,
32,1000032,5,38.001635,214.0516,43.001635,214.0516,0.017733015,
33,1000033,5,-1.9699136,169.96352,3.0300864,169.96352,0.015175309,
34,1000034,5,4.9797592,89.991775,9.9797592,89.991775,0.016173668,
35,1000035,5,5.0427905,-111.97119,10.042791,-111.97119,0.021665412,
36,1000036,5,-6.017613,191.02501,-1.017613,191.02501,0.017520752,
37,1000037,5,2.0605251,-204.03473,7.0605251,-204.03473,0.01567923,
38,1000038,5,4.9316407,-211.96983,9.9316407,-211.96983,0.019699899,
39,1000039,5,5.0008427,171.02528,10.000843,171.02528,0.021783371,
40,1000040,5,4.9950442,-142.07807,9.9950442,-142.07807,0.020320586,
41,1000041,5,4.9914193,-76.960113,9.9914193,-76.960113,0.018225223,
42,1000042,5,5.017301,238.01828,10.017301,238.01828,0.019155331,
43,1000043,5,5.0080294,-12.047746,10.008029,-12.047746,0.018630577,
44,1000044,5,5.0045225,21.075268,10.004523,21.075268,0.016500116,
45,1000045,5,4.9591327,-235.97942,9.9591327,-235.97942,0.018386353,
46,1000046,5,5.0294539,-149.08281,10.029454,-149.08281,0.0189844,
47,1000047,5,4.9793054,-244.95726,9.9793054,-244.95726,0.018067361,
48,1000048,5,4.9485571,116.21684,9.9485571,116.21684,0.016559391,
49,1000049,5,5.0266413,-57.095252,10.026641,-57.095252,0.016517165,
50,1000050,5,4.9625111,-4.8852267,9.9625111,-4.8852267,0.017044069,
51,1000051,5,55.052153,79.037998,60.052153,79.037998,0.018113874,
52,1000052,5,5.0007265,-190.94963,10.000727,-190.94963,0.020398029,
53,1000053,5,-23.082401,-13.99574,-18.082401,-13.99574,0.015856447,
54,1000054,5,5.0357773,122.0143,10.035777,122.0143,0.019815165,
55,1000055,5,27.011797,137.02693,32.011797,137.02693,0.015516515,
56,1000056,5,4.9491489,159.04503,9.9491489,159.04503,0.019656411,
57,1000057,5,4.9969611,113.07546,9.9969611,113.07546,0.016883075,
58,1000058,5,-16.060323,-68.981859,-11.060323,-68.981859,0.017377057,
59,1000059,5,4.9757512,80.062937,9.9757512,80.062937,0.0164979,
60,1000060,5,-22.980443,83.99099,-17.980443,83.99099,0.017133678,
61,1000061,5,4.9770494,-138.006,9.9770494,-138.006,0.019047474,
62,1000062,5,4.9580485,-161.00036,9.9580485,-161.00036,0.021356157,
63,1000063,5,5.0317511,-70.95272,10.031751,-70.95272,0.02403616,
64,1000064,5,0.0098659358,122.03999,5.0098659,122.03999,0.017074144,
65,1000065,5,5.0273086,-54.972805,10.027309,-54.972805,0.016909858,
66,1000066,5,4.9353447,121.97094,9.9353447,121.97094,0.017976146,
67,1000067,5,5.0265721,105.93367,10.026572,105.93367,0.018177924,
68,1000068,5,5.030899,173.07649,10.030899,173.07649,0.018027826,
69,1000069,5,4.9981462,220.01864,9.9981462,220.01864,0.017962774,
70,1000070,5,4.9985449,-170.91755,9.9985449,-170.91755,0.020736134,
71,1000071,5,25.036212,244.00317,30.036212,244.00317,0.015058735,
72,1000072,5,137.97951,-248.99069,142.97951,-248.99069,0.01725829,
73,1000073,5,-20.984612,-145.95588,-15.984612,-145.95588,0.015731115,
74,1000074,5,4.9458863,92.006619,9.9458863,92.006619,0.017898936,
75,1000075,5,5.0093715,84.005966,10.009372,84.005966,0.018948427,
76,1000076,5,4.989873,-253.97463,9.989873,-253.97463,0.017753426,
77,1000077,5,5.0010016,-91.063716,10.001002,-91.063716,0.020716802,
78,1000078,5,5.0057148,149.9915,10.005715,149.9915,0.019031016,
79,1000079,5,4.9828159,118.10111,9.9828159,118.10111,0.017420391,
80,1000080,5,5.0079854,-38.017427,10.007985,-38.017427,0.015107124,
81,1000081,5,5.0646579,3.0583495,10.064658,3.0583495,0.016774972,
82,1000082,5,4.9664066,-80.067323,9.9664066,-80.067323,0.019139396,
83,1000083,5,49.021931,31.001263,54.021931,31.001263,0.014952082,
84,1000084,5,5.0092394,79.956286,10.009239,79.956286,0.01719193,
85,1000085,5,-27.998681,-159.00238,-22.998681,-159.00238,0.016935736,
86,1000086,5,4.9655841,-26.993854,9.9655841,-26.993854,0.017327675,
87,1000087,5,-21.02624,-248.00197,-16.02624,-248.00197,0.019606905,
88,1000088,5,4.9766929,-65.942597,9.9766929,-65.942597,0.023842994,
89,1000089,5,4.9772835,-211.00489,9.9772835,-211.00489,0.01865719,
90,1000090,5,5.0093921,224.06874,10.009392,224.06874,0.018403215,
91,1000091,5,5.0088673,0.013488251,10.008867,0.013488251,0.027006618,
92,1000092,5,-10.00314,127.98897,-5.0031401,127.98897,0.015748624,
93,1000093,5,4.9388391,143.9674,9.9388391,143.9674,0.019519449,
94,1000094,5,4.944015,188.88772,9.944015,188.88772,0.015943952,
95,1000095,5,5.0241403,-53.010736,10.02414,-53.010736,0.021167299,
96,1000096,5,5.0343331,179.00442,10.034333,179.00442,0.020899004,
97,1000097,5,4.9868237,-13.060409,9.9868237,-13.060409,0.026991649,
98,1000098,5,5.0240053,-222.98833,10.024005,-222.98833,0.01977892,
99,1000099,5,5.0270798,-110.93811,10.02708,-110.93811,0.019685665,
100,1000100,5,4.9708932,38.974724,9.9708932,38.974724,0.020453098,
101,1000101,5,5.0109904,-233.03587,10.01099,-233.03587,0.017064663,
102,1000102,5,4.9594793,92.997135,9.9594793,92.997135,0.02034288,
103,1000103,5,5.0068463,-62.02037,10.006846,-62.02037,0.027414472,
104,1000104,5,5.007305,-130.9722,10.007305,-130.9722,0.016613077,
105,1000105,5,4.9693987,-168.99866,9.9693987,-168.99866,0.026337194,
106,1000106,5,5.004648,-80.994058,10.004648,-80.994058,0.02218882,
107,1000107,5,-11.950644,-93.001017,-6.9506444,-93.001017,0.01488153,
108,1000108,5,25.937504,201.06238,30.937504,201.06238,0.013963157,
109,1000109,5,5.080535,156.02602,10.080535,156.02602,0.017055888,
110,1000110,5,5.0430805,-176.99923,10.043081,-176.99923,0.019133301,
111,1000111,5,4.95998,-176.03882,9.95998,-176.03882,0.021070257,
112,1000112,5,4.950683,-56.996564,9.950683,-56.996564,0.018892159,
113,1000113,5,16.039763,-253.99372,21.039763,-253.99372,0.015909359,
114,1000114,5,5.018771,-204.97768,10.018771,-204.97768,0.018263251,
115,1000115,5,5.021556,-62.989449,10.021556,-62.989449,0.016557079,
116,1000116,5,-6.0202517,-130.99721,-1.0202517,-130.99721,0.017034712,
117,1000117,5,5.0278134,-71.061523,10.027813,-71.061523,0.020215522,
118,1000118,5,5.0114343,166.99462,10.011434,166.99462,0.023131737,
119,1000119,5,4.9926372,-253.02992,9.9926372,-253.02992,0.02159016,
120,1000120,5,5.0228525,57.876976,10.022852,57.876976,0.017995085,
121,1000121,5,4.9741835,-2.0581743,9.9741835,-2.0581743,0.020114636,
122,1000122,5,-0.055274959,-89.003053,4.944725,-89.003053,0.018028643,
123,1000123,5,5.0338815,-222.00313,10.033882,-222.00313,0.016491255,
124,1000124,5,-6.0044573,33.0485,-1.0044573,33.0485,0.015787083,
125,1000125,5,5.0120506,157.99585,10.012051,157.99585,0.018147963,
126,1000126,5,5.0053683,144.00209,10.005368,144.00209,0.020936163,
127,1000127,5,4.9937792,-163.01125,9.9937792,-163.01125,0.024437847,
128,1000128,5,5.0114543,-208.99771,10.011454,-208.99771,0.017165218,
129,1000129,5,60.983092,10.978803,65.983092,10.978803,0.015963269,
130,1000130,5,43.020678,-50.999457,48.020678,-50.999457,0.015910393,
131,1000131,5,5.0131969,-149.9268,10.013197,-149.9268,0.020446648,
132,1000132,5,5.0188497,-30.001206,10.01885,-30.001206,0.01794058,
133,1000133,5,-38.994337,-12.002918,-33.994337,-12.002918,0.017408949,
134,1000134,5,4.9908256,195.98889,9.9908256,195.98889,0.017666527,
135,1000135,5,5.0266051,-215.88635,10.026605,-215.88635,0.016900865,
136,1000136,5,5.0080093,179.01636,10.008009,179.01636,0.018872361,
137,1000137,5,5.0071306,40.058648,10.007131,40.058648,0.020370045,
138,1000138,5,-34.036449,128.9734,-29.036449,128.9734,0.016828475,
139,1000139,5,-33.982709,98.033037,-28.982709,98.033037,0.015457933,
140,1000140,5,4.9679688,249.96313,9.9679688,249.96313,0.018271796,
141,1000141,5,5.0122652,223.03845,10.012265,223.03845,0.019346441,
142,1000142,5,19.002081,163.98228,24.002081,163.98228,0.015628864,
143,1000143,5,4.9590073,-134.03788,9.9590073,-134.03788,0.021598327,
144,1000144,5,4.9944653,-214.03211,9.9944653,-214.03211,0.020313206,
145,1000145,5,5.0081297,106.95883,10.00813,106.95883,0.016749695,
146,1000146,5,5.0023829,-211.10613,10.002383,-211.10613,0.01703487,
147,1000147,5,5.0153206,-226.00134,10.015321,-226.00134,0.017276207,
148,1000148,5,4.9794305,-0.96948036,9.9794305,-0.96948036,0.021864446,
149,1000149,5,4.9871625,45.945759,9.9871625,45.945759,0.0208326,
150,1000150,5,5.0142768,168.9737,10.014277,168.9737,0.021642706,
151,1000151,5,4.9926758,-220.99143,9.9926758,-220.99143,0.017494464,
152,1000152,5,26.984959,-187.02145,31.984959,-187.02145,0.015407204,
153,1000153,5,5.0332325,134.07436,10.033233,134.07436,0.01739457,
154,1000154,5,-16.116694,-10.049883,-11.116694,-10.049883,0.015015225,
155,1000155,5,-6.9970536,-31.994854,-1.9970536,-31.994854,0.022434397,
156,1000156,5,5.005228,104.06049,10.005228,104.06049,0.019706054,
157,1000157,5,5.0228395,139.02497,10.022839,139.02497,0.020851978,
158,1000158,5,5.0464232,-125.91805,10.046423,-125.91805,0.016938115,
159,1000159,5,5.035105,-231.00297,10.035105,-231.00297,0.022619635,
160,1000160,5,5.0352366,-152.95481,10.035237,-152.95481,0.018544142,
161,1000161,5,4.9886698,-207.13273,9.9886698,-207.13273,0.017222163,
162,1000162,5,-39.004292,235.99604,-34.004292,235.99604,0.016012827,
163,1000163,5,18.026558,-73.016414,23.026558,-73.016414,0.016969598,
164,1000164,5,4.9861528,-204.98119,9.9861528,-204.98119,0.017503083,
165,1000165,5,0.014506849,-2.0274662,5.0145068,-2.0274662,0.01514972,
166,1000166,5,4.9920601,-180.10778,9.9920601,-180.10778,0.017748916,
167,1000167,5,4.9669223,-60.010468,9.9669223,-60.010468,0.017622519,
168,1000168,5,4.984309,-15.052935,9.984309,-15.052935,0.022296819,
169,1000169,5,5.0049324,-120.08838,10.004932,-120.08838,0.017216874,
170,1000170,5,5.0090932,-184.052,10.009093,-184.052,0.021199126,
171,1000171,5,4.9515761,-157.99483,9.9515761,-157.99483,0.018648706,
172,1000172,5,5.0113817,244.10422,10.011382,244.10422,0.01903462,
173,1000173,5,17.991846,187.98807,22.991846,187.98807,0.016903946,
174,1000174,5,0.040009947,227.02959,5.0400099,227.02959,0.015812385,
175,1000175,5,5.0381415,-61.05637,10.038142,-61.05637,0.021767392,
176,1000176,5,5.0168395,182.00487,10.016839,182.00487,0.015438426,
177,1000177,5,-16.005292,-116.04482,-11.005292,-116.04482,0.017101726,
178,1000178,5,5.0082668,-206.82262,10.008267,-206.82262,0.017582471,
179,1000179,5,49.012761,99.99978,54.012761,99.99978,0.015988595,
180,1000180,5,18.96438,-142.96946,23.96438,-142.96946,0.014890805,
181,1000181,5,5.0003982,-185.00968,10.000398,-185.00968,0.020764019,
182,1000182,5,5.0286752,133.96576,10.028675,133.96576,0.015331754,
183,1000183,5,4.9951611,-180.02939,9.9951611,-180.02939,0.020346097,
184,1000184,5,5.0607242,63.008061,10.060724,63.008061,0.020527517,
185,1000185,5,5.0032099,99.05947,10.00321,99.05947,0.024366099,
186,1000186,5,5.0187684,-50.077372,10.018768,-50.077372,0.019684844,
187,1000187,5,5.01962,187.96597,10.01962,187.96597,0.01632201,
188,1000188,5,4.9920428,-80.99964,9.9920428,-80.99964,0.018748298,
189,1000189,5,5.0288168,-242.00003,10.028817,-242.00003,0.02284996,
190,1000190,5,5.0292629,-141.99031,10.029263,-141.99031,0.023378894,
191,1000191,5,5.0306165,-122.1573,10.030616,-122.1573,0.018933603,
192,1000192,5,5.006634,-137.04264,10.006634,-137.04264,0.020053007,
193,1000193,5,5.0275059,111.01072,10.027506,111.01072,0.020134087,
194,1000194,5,5.0199389,58.95904,10.019939,58.95904,0.023627435,
195,1000195,5,4.9657043,205.06509,9.9657043,205.06509,0.016289845,
196,1000196,5,4.9781187,-7.935079,9.9781187,-7.935079,0.016828806,
197,1000197,5,5.064301,160.98802,10.064301,160.98802,0.019702709,
198,1000198,5,5.0495477,-87.037957,10.049548,-87.037957,0.018960799,
199,1000199,5,-8.9887384,203.96464,-3.9887384,203.96464,0.016925438,
200,1000200,5,5.0111116,-136.99593,10.011112,-136.99593,0.021964672,
201,1000201,5,5.0188305,-80.014597,10.018831,-80.014597,0.018322423,
202,1000202,5,5.0086578,84.956038,10.008658,84.956038,0.019003301,
203,1000203,5,5.0212286,-47.942,10.021229,-47.942,0.016316339,
204,1000204,5,5.0389269,-25.011788,10.038927,-25.011788,0.017817248,
205,1000205,5,4.9800003,44.081679,9.9800003,44.081679,0.020146394,
206,1000206,5,5.0515143,22.988549,10.051514,22.988549,0.019883576,
207,1000207,5,4.9939053,242.929,9.9939053,242.929,0.01958036,
208,1000208,5,4.9657583,177.03848,9.9657583,177.03848,0.017991413,
209,1000209,5,4.9915523,72.049055,9.9915523,72.049055,0.017010577,
210,1000210,5,17.97968,-171.99358,22.97968,-171.99358,0.016167552,
211,1000211,5,5.0002127,19.978546,10.000213,19.978546,0.015246305,
212,1000212,5,5.0202529,-27.046172,10.020253,-27.046172,0.018572789,
213,1000213,5,4.9847297,-172.94374,9.9847297,-172.94374,0.01963873,
214,1000214,5,4.9953618,123.02543,9.9953618,123.02543,0.020622222,
215,1000215,5,4.9768698,-5.974064,9.9768698,-5.974064,0.021156193,
216,1000216,5,5.0072344,192.86427,10.007234,192.86427,0.015089486,
217,1000217,5,4.9651216,126.99802,9.9651216,126.99802,0.017352526,
218,1000218,5,5.0040165,-142.03213,10.004016,-142.03213,0.016714151,
219,1000219,5,5.0342312,-84.019463,10.034231,-84.019463,0.019735979,
220,1000220,5,-25.015465,194.0371,-20.015465,194.0371,0.018308478,
221,1000221,5,4.9930658,160.06057,9.9930658,160.06057,0.02088225,
222,1000222,5,-5.9650897,-89.994648,-0.96508966,-89.994648,0.016880785,
223,1000223,5,4.9765056,1.0500766,9.9765056,1.0500766,0.02768962,
224,1000224,5,4.935763,63.053867,9.935763,63.053867,0.016319339,
225,1000225,5,4.9799324,-208.00141,9.9799324,-208.00141,0.022957468,
226,1000226,5,5.051439,-86.015287,10.051439,-86.015287,0.022999907,
227,1000227,5,21.931242,-23.998013,26.931242,-23.998013,0.016681787,
228,1000228,5,4.9805082,120.9877,9.9805082,120.9877,0.016912907,
229,1000229,5,4.9869084,-123.9609,9.9869084,-123.9609,0.021036566,
230,1000230,5,4.9890098,145.99453,9.9890098,145.99453,0.022124109,
231,1000231,5,5.0331408,143.06269,10.033141,143.06269,0.017517772,
232,1000232,5,10.035341,-168.98518,15.035341,-168.98518,0.015392606,
233,1000233,5,4.9829024,-124.0433,9.9829024,-124.0433,0.020144977,
234,1000234,5,4.9708332,-58.098375,9.9708332,-58.098375,0.016079436,
235,1000235,5,5.0161975,117.00233,10.016198,117.00233,0.023888695,
236,1000236,5,-47.034882,-0.98430302,-42.034882,-0.98430302,0.015502805,
237,1000237,5,5.0194708,206.04784,10.019471,206.04784,0.020426275,
238,1000238,5,4.9771526,-37.040703,9.9771526,-37.040703,0.018771095,
239,1000239,5,4.9916939,223.04682,9.9916939,223.04682,0.024293442,
240,1000240,5,27.020215,207.95179,32.020215,207.95179,0.018185999,
241,1000241,5,5.0161493,144.06867,10.016149,144.06867,0.017225205,
242,1000242,5,5.0053923,161.05566,10.005392,161.05566,0.016853349,
243,1000243,5,4.9747806,-130.95536,9.9747806,-130.95536,0.015451702,
244,1000244,5,4.9996073,78.006432,9.9996073,78.006432,0.018213934,
245,1000245,5,4.9722004,-128.96622,9.9722004,-128.96622,0.026753833,
246,1000246,5,4.9642065,-98.109336,9.9642065,-98.109336,0.020400974,
247,1000247,5,-46.990469,215.00525,-41.990469,215.00525,0.015667644,
248,1000248,5,-16.995282,-176.96091,-11.995282,-176.96091,0.016385871,
249,1000249,5,4.966662,35.053832,9.966662,35.053832,0.022204239,
250,1000250,5,4.971022,212.96784,9.971022,212.96784,0.018008495,
251,1000251,5,4.9826571,18.992772,9.9826571,18.992772,0.018172299,
252,1000252,5,5.004205,-225.00121,10.004205,-225.00121,0.024495977,
253,1000253,5,-17.059853,-134.9649,-12.059853,-134.9649,0.016171241,
254,1000254,5,4.9413774,-79.925138,9.9413774,-79.925138,0.017382728,
255,1000255,5,5.0083471,-165.02655,10.008347,-165.02655,0.030296113,
256,1000256,5,5.0112981,-53.899395,10.011298,-53.899395,0.019377304,
257,1000257,5,5.0391483,214.02173,10.039148,214.02173,0.021779794,
258,1000258,5,5.0102337,132.08592,10.010234,132.08592,0.02056379,
259,1000259,5,5.0309435,186.9766,10.030943,186.9766,0.021933716,
260,1000260,5,-22.984416,-145.01376,-17.984416,-145.01376,0.017785457,
261,1000261,5,83.063505,105.00495,88.063505,105.00495,0.015696713,
262,1000262,5,5.0129772,-202.06057,10.012977,-202.06057,0.017727161,
263,1000263,5,4.9833647,157.06432,9.9833647,157.06432,0.017650895,
264,1000264,5,5.0048618,-79.07917,10.004862,-79.07917,0.022450087,
