win_start,q,count_observed,count_formula,ok_flag
1,1,220,220,1
1,2,110,110,1
1,3,73,73,1
1,4,55,55,1
1,5,44,44,1
1,6,36,36,1
1,7,31,31,1
1,8,27,27,1
1,9,24,24,1
1,10,22,22,1
1,11,20,20,1
1,12,18,18,1
1,13,16,16,1
1,14,15,15,1
1,15,14,14,1
1,16,13,13,1
1,17,12,12,1
1,18,12,12,1
1,19,11,11,1
1,20,11,11,1
1,21,10,10,1
1,22,10,10,1
1,23,9,9,1
1,24,9,9,1
1,25,8,8,1
1,26,8,8,1
1,27,8,8,1
1,28,7,7,1
1,29,7,7,1
1,30,7,7,1
1,31,7,7,1
1,32,6,6,1
1,33,6,6,1
1,34,6,6,1
1,35,6,6,1
1,36,6,6,1
1,37,5,5,1
1,38,5,5,1
1,39,5,5,1
1,40,5,5,1
1,41,5,5,1
1,42,5,5,1
1,43,5,5,1
1,44,5,5,1
1,45,4,4,1
1,46,4,4,1
1,47,4,4,1
1,48,4,4,1
1,49,4,4,1
1,50,4,4,1
61,1,180,180,1
61,2,110,110,1
61,3,73,73,1
61,4,55,55,1
61,5,44,44,1
61,6,36,36,1
61,7,32,32,1
61,8,28,28,1
61,9,25,25,1
61,10,22,22,1
61,11,20,20,1
61,12,18,18,1
61,13,17,17,1
61,14,16,16,1
61,16,14,14,1
61,15,14,14,1
61,17,13,13,1
61,18,12,12,1
61,21,11,11,1
61,19,11,11,1
61,20,11,11,1
61,22,10,10,1
61,23,10,10,1
61,24,9,9,1
61,25,9,9,1
61,31,8,8,1
61,26,8,8,1
61,27,8,8,1
61,28,8,8,1
61,32,7,7,1
61,33,7,7,1
61,34,7,7,1
61,35,7,7,1
61,29,7,7,1
61,30,7,7,1
61,36,6,6,1
61,37,6,6,1
61,38,6,6,1
61,39,6,6,1
61,40,6,6,1
61,41,5,5,1
61,42,5,5,1
61,43,5,5,1
61,44,5,5,1
61,45,5,5,1
61,46,5,5,1
61,61,4,4,1
61,62,4,4,1
61,63,4,4,1
61,64,4,4,1
121,1,120,120,1
121,2,110,110,1
121,3,73,73,1
121,4,55,55,1
121,5,44,44,1
121,6,36,36,1
121,7,31,31,1
121,8,27,27,1
121,9,24,24,1
121,10,22,22,1
121,11,20,20,1
121,12,18,18,1
121,13,17,17,1
121,14,16,16,1
121,16,14,14,1
121,15,14,14,1
121,17,13,13,1
121,18,12,12,1
121,21,11,11,1
121,19,11,11,1
121,20,11,11,1
121,22,10,10,1
121,25,9,9,1
121,26,9,9,1
121,23,9,9,1
121,24,9,9,1
121,27,8,8,1
121,28,8,8,1
121,31,7,7,1
121,32,7,7,1
121,33,7,7,1
121,34,7,7,1
121,29,7,7,1
121,30,7,7,1
121,41,6,6,1
121,42,6,6,1
121,35,6,6,1
121,36,6,6,1
121,37,6,6,1
121,43,5,5,1
121,44,5,5,1
121,45,5,5,1
121,46,5,5,1
121,47,5,5,1
121,48,5,5,1
121,38,5,5,1
121,39,5,5,1
121,40,5,5,1
121,61,4,4,1
121,62,4,4,1
181,2,110,110,1
181,3,73,73,1
181,1,60,60,1
181,4,55,55,1
181,5,44,44,1
181,6,36,36,1
181,7,32,32,1
181,8,28,28,1
181,9,24,24,1
181,10,22,22,1
181,11,20,20,1
181,12,18,18,1
181,13,17,17,1
181,14,16,16,1
181,16,14,14,1
181,15,14,14,1
181,17,13,13,1
181,19,12,12,1
181,18,12,12,1
181,21,11,11,1
181,20,11,11,1
181,23,10,10,1
181,22,10,10,1
181,26,9,9,1
181,24,9,9,1
181,25,9,9,1
181,27,8,8,1
181,28,8,8,1
181,31,7,7,1
181,32,7,7,1
181,33,7,7,1
181,29,7,7,1
181,30,7,7,1
181,37,6,6,1
181,38,6,6,1
181,39,6,6,1
181,40,6,6,1
181,34,6,6,1
181,35,6,6,1
181,36,6,6,1
181,46,5,5,1
181,47,5,5,1
181,48,5,5,1
181,49,5,5,1
181,50,5,5,1
181,41,5,5,1
181,42,5,5,1
181,43,5,5,1
181,44,5,5,1
181,61,4,4,1
241,2,110,110,1
241,3,73,73,1
241,4,55,55,1
241,5,44,44,1
241,6,36,36,1
241,7,31,31,1
241,8,27,27,1
241,9,25,25,1
241,10,22,22,1
241,11,20,20,1
241,12,18,18,1
241,13,17,17,1
241,14,15,15,1
241,15,14,14,1
241,17,13,13,1
241,16,13,13,1
241,19,12,12,1
241,18,12,12,1
241,20,11,11,1
241,22,10,10,1
241,21,10,10,1
241,23,10,10,1
241,27,9,9,1
241,25,9,9,1
241,24,9,9,1
241,28,8,8,1
241,26,8,8,1
241,35,7,7,1
241,31,7,7,1
241,32,7,7,1
241,29,7,7,1
241,30,7,7,1
241,41,6,6,1
241,36,6,6,1
241,37,6,6,1
241,33,6,6,1
241,38,6,6,1
241,34,6,6,1
241,49,5,5,1
241,50,5,5,1
241,42,5,5,1
241,51,5,5,1
241,43,5,5,1
241,44,5,5,1
241,45,5,5,1
241,39,5,5,1
241,46,5,5,1
241,40,5,5,1
241,61,4,4,1
241,62,4,4,1
301,2,90,90,1
301,3,73,73,1
301,4,55,55,1
301,5,44,44,1
301,6,36,36,1
301,7,32,32,1
301,8,28,28,1
301,9,24,24,1
301,10,22,22,1
301,11,20,20,1
301,12,18,18,1
301,13,17,17,1
301,14,16,16,1
301,16,14,14,1
301,15,14,14,1
301,17,13,13,1
301,19,12,12,1
301,18,12,12,1
301,20,11,11,1
301,22,10,10,1
301,21,10,10,1
301,26,9,9,1
301,24,9,9,1
301,23,9,9,1
301,28,8,8,1
301,27,8,8,1
301,25,8,8,1
301,34,7,7,1
301,31,7,7,1
301,29,7,7,1
301,32,7,7,1
301,30,7,7,1
301,43,6,6,1
301,38,6,6,1
301,39,6,6,1
301,35,6,6,1
301,40,6,6,1
301,36,6,6,1
301,33,6,6,1
301,37,6,6,1
301,51,5,5,1
301,44,5,5,1
301,52,5,5,1
301,45,5,5,1
301,46,5,5,1
301,41,5,5,1
301,47,5,5,1
301,42,5,5,1
301,61,4,4,1
301,62,4,4,1
361,3,73,73,1
361,2,60,60,1
361,4,55,55,1
361,5,44,44,1
361,6,36,36,1
361,7,31,31,1
361,8,27,27,1
361,9,24,24,1
361,10,22,22,1
361,11,20,20,1
361,12,18,18,1
361,13,17,17,1
361,14,16,16,1
361,16,14,14,1
361,15,14,14,1
361,17,13,13,1
361,19,12,12,1
361,18,12,12,1
361,20,11,11,1
361,23,10,10,1
361,22,10,10,1
361,21,10,10,1
361,26,9,9,1
361,25,9,9,1
361,24,9,9,1
361,28,8,8,1
361,29,8,8,1
361,27,8,8,1
361,33,7,7,1
361,31,7,7,1
361,34,7,7,1
361,32,7,7,1
361,30,7,7,1
361,41,6,6,1
361,37,6,6,1
361,38,6,6,1
361,35,6,6,1
361,36,6,6,1
361,52,5,5,1
361,46,5,5,1
361,47,5,5,1
361,42,5,5,1
361,48,5,5,1
361,43,5,5,1
361,39,5,5,1
361,44,5,5,1
361,40,5,5,1
361,61,4,4,1
361,53,4,4,1
361,62,4,4,1
421,3,73,73,1
421,4,55,55,1
421,5,44,44,1
421,6,36,36,1
421,7,31,31,1
421,2,30,30,1
421,8,28,28,1
421,9,25,25,1
421,10,22,22,1
421,11,20,20,1
421,12,18,18,1
421,13,17,17,1
421,14,15,15,1
421,16,14,14,1
421,15,14,14,1
421,17,13,13,1
421,18,12,12,1
421,19,11,11,1
421,20,11,11,1
421,22,10,10,1
421,21,10,10,1
421,25,9,9,1
421,24,9,9,1
421,23,9,9,1
421,27,8,8,1
421,29,8,8,1
421,26,8,8,1
421,33,7,7,1
421,31,7,7,1
421,32,7,7,1
421,28,7,7,1
421,30,7,7,1
421,39,6,6,1
421,36,6,6,1
421,40,6,6,1
421,34,6,6,1
421,37,6,6,1
421,35,6,6,1
421,47,5,5,1
421,53,5,5,1
421,43,5,5,1
421,48,5,5,1
421,44,5,5,1
421,49,5,5,1
421,45,5,5,1
421,41,5,5,1
421,38,5,5,1
421,42,5,5,1
421,71,4,4,1
421,61,4,4,1
481,3,73,73,1
481,4,55,55,1
481,5,44,44,1
481,6,36,36,1
481,7,32,32,1
481,8,27,27,1
481,9,24,24,1
481,10,22,22,1
481,11,20,20,1
481,12,18,18,1
481,13,17,17,1
481,14,16,16,1
481,15,14,14,1
481,17,13,13,1
481,16,13,13,1
481,18,12,12,1
481,21,11,11,1
481,19,11,11,1
481,20,11,11,1
481,23,10,10,1
481,22,10,10,1
481,25,9,9,1
481,24,9,9,1
481,27,8,8,1
481,29,8,8,1
481,26,8,8,1
481,28,8,8,1
481,35,7,7,1
481,33,7,7,1
481,31,7,7,1
481,30,7,7,1
481,37,6,6,1
481,41,6,6,1
481,38,6,6,1
481,36,6,6,1
481,34,6,6,1
481,32,6,6,1
481,44,5,5,1
481,49,5,5,1
481,45,5,5,1
481,50,5,5,1
481,42,5,5,1
481,46,5,5,1
481,39,5,5,1
481,43,5,5,1
481,40,5,5,1
481,69,4,4,1
481,54,4,4,1
481,61,4,4,1
481,70,4,4,1
541,3,60,60,1
541,4,55,55,1
541,5,44,44,1
541,6,36,36,1
541,7,31,31,1
541,8,28,28,1
541,9,24,24,1
541,10,22,22,1
541,11,20,20,1
541,12,18,18,1
541,13,17,17,1
541,14,16,16,1
541,16,14,14,1
541,15,14,14,1
541,17,13,13,1
541,19,12,12,1
541,18,12,12,1
541,21,11,11,1
541,20,11,11,1
541,22,10,10,1
541,23,10,10,1
541,26,9,9,1
541,25,9,9,1
541,24,9,9,1
541,29,8,8,1
541,28,8,8,1
541,27,8,8,1
541,34,7,7,1
541,32,7,7,1
541,31,7,7,1
541,33,7,7,1
541,30,7,7,1
541,42,6,6,1
541,39,6,6,1
541,37,6,6,1
541,40,6,6,1
541,35,6,6,1
541,38,6,6,1
541,36,6,6,1
541,50,5,5,1
541,46,5,5,1
541,43,5,5,1
541,47,5,5,1
541,44,5,5,1
541,41,5,5,1
541,68,4,4,1
541,61,4,4,1
541,55,4,4,1
541,69,4,4,1
541,62,4,4,1
601,4,55,55,1
601,5,44,44,1
601,3,40,40,1
601,6,36,36,1
601,7,32,32,1
601,8,27,27,1
601,9,25,25,1
601,10,22,22,1
601,11,20,20,1
601,12,18,18,1
601,13,17,17,1
601,14,16,16,1
601,16,14,14,1
601,15,14,14,1
601,17,13,13,1
601,19,12,12,1
601,18,12,12,1
601,21,11,11,1
601,20,11,11,1
601,22,10,10,1
601,23,9,9,1
601,24,9,9,1
601,29,8,8,1
601,28,8,8,1
601,27,8,8,1
601,26,8,8,1
601,25,8,8,1
601,32,7,7,1
601,34,7,7,1
601,31,7,7,1
601,30,7,7,1
601,43,6,6,1
601,38,6,6,1
601,36,6,6,1
601,41,6,6,1
601,39,6,6,1
601,33,6,6,1
601,37,6,6,1
601,35,6,6,1
601,47,5,5,1
601,51,5,5,1
601,44,5,5,1
601,48,5,5,1
601,45,5,5,1
601,42,5,5,1
601,40,5,5,1
601,67,4,4,1
601,55,4,4,1
601,61,4,4,1
601,68,4,4,1
661,4,55,55,1
661,5,44,44,1
661,6,36,36,1
661,7,31,31,1
661,8,28,28,1
661,9,24,24,1
661,10,22,22,1
661,3,20,20,1
661,11,20,20,1
661,12,18,18,1
661,13,17,17,1
661,14,15,15,1
661,16,14,14,1
661,15,14,14,1
661,17,13,13,1
661,19,12,12,1
661,18,12,12,1
661,20,11,11,1
661,23,10,10,1
661,21,10,10,1
661,22,10,10,1
661,24,9,9,1
661,25,9,9,1
661,29,8,8,1
661,28,8,8,1
661,27,8,8,1
661,26,8,8,1
661,35,7,7,1
661,32,7,7,1
661,31,7,7,1
661,30,7,7,1
661,39,6,6,1
661,37,6,6,1
661,40,6,6,1
661,34,6,6,1
661,38,6,6,1
661,36,6,6,1
661,33,6,6,1
661,51,5,5,1
661,48,5,5,1
661,42,5,5,1
661,45,5,5,1
661,43,5,5,1
661,46,5,5,1
661,41,5,5,1
661,44,5,5,1
661,67,4,4,1
661,61,4,4,1
661,56,4,4,1
661,52,4,4,1
721,4,55,55,1
721,5,44,44,1
721,6,36,36,1
721,7,32,32,1
721,8,27,27,1
721,9,24,24,1
721,10,22,22,1
721,11,20,20,1
721,12,18,18,1
721,13,17,17,1
721,14,16,16,1
721,15,14,14,1
721,17,13,13,1
721,16,13,13,1
721,19,12,12,1
721,18,12,12,1
721,20,11,11,1
721,22,10,10,1
721,21,10,10,1
721,25,9,9,1
721,26,9,9,1
721,23,9,9,1
721,24,9,9,1
721,29,8,8,1
721,28,8,8,1
721,27,8,8,1
721,33,7,7,1
721,32,7,7,1
721,31,7,7,1
721,30,7,7,1
721,38,6,6,1
721,35,6,6,1
721,37,6,6,1
721,39,6,6,1
721,34,6,6,1
721,36,6,6,1
721,52,5,5,1
721,43,5,5,1
721,49,5,5,1
721,46,5,5,1
721,41,5,5,1
721,44,5,5,1
721,47,5,5,1
721,42,5,5,1
721,40,5,5,1
721,66,4,4,1
721,56,4,4,1
721,61,4,4,1
721,67,4,4,1
721,57,4,4,1
781,4,45,45,1
781,5,44,44,1
781,6,36,36,1
781,7,31,31,1
781,8,28,28,1
781,9,25,25,1
781,10,22,22,1
781,11,20,20,1
781,12,18,18,1
781,14,16,16,1
781,13,16,16,1
781,16,14,14,1
781,15,14,14,1
781,17,13,13,1
781,18,12,12,1
781,19,11,11,1
781,20,11,11,1
781,23,10,10,1
781,22,10,10,1
781,21,10,10,1
781,27,9,9,1
781,24,9,9,1
781,25,9,9,1
781,29,8,8,1
781,28,8,8,1
781,26,8,8,1
781,34,7,7,1
781,33,7,7,1
781,32,7,7,1
781,31,7,7,1
781,30,7,7,1
781,36,6,6,1
781,38,6,6,1
781,40,6,6,1
781,35,6,6,1
781,37,6,6,1
781,46,5,5,1
781,49,5,5,1
781,44,5,5,1
781,42,5,5,1
781,47,5,5,1
781,50,5,5,1
781,45,5,5,1
781,43,5,5,1
781,39,5,5,1
781,41,5,5,1
781,71,4,4,1
781,56,4,4,1
781,66,4,4,1
781,61,4,4,1
841,5,44,44,1
841,6,36,36,1
841,7,31,31,1
841,4,30,30,1
841,8,27,27,1
841,9,24,24,1
841,10,22,22,1
841,11,20,20,1
841,12,18,18,1
841,13,17,17,1
841,14,15,15,1
841,16,14,14,1
841,15,14,14,1
841,17,13,13,1
841,18,12,12,1
841,19,11,11,1
841,20,11,11,1
841,23,10,10,1
841,22,10,10,1
841,21,10,10,1
841,25,9,9,1
841,24,9,9,1
841,29,8,8,1
841,26,8,8,1
841,27,8,8,1
841,34,7,7,1
841,33,7,7,1
841,32,7,7,1
841,31,7,7,1
841,28,7,7,1
841,30,7,7,1
841,37,6,6,1
841,39,6,6,1
841,36,6,6,1
841,35,6,6,1
841,47,5,5,1
841,53,5,5,1
841,50,5,5,1
841,45,5,5,1
841,43,5,5,1
841,41,5,5,1
841,48,5,5,1
841,46,5,5,1
841,38,5,5,1
841,44,5,5,1
841,40,5,5,1
841,42,5,5,1
841,65,4,4,1
841,61,4,4,1
841,57,4,4,1
901,5,44,44,1
901,6,36,36,1
901,7,32,32,1
901,8,28,28,1
901,9,24,24,1
901,10,22,22,1
901,11,20,20,1
901,12,18,18,1
901,13,17,17,1
901,14,16,16,1
901,4,15,15,1
901,16,14,14,1
901,15,14,14,1
901,17,13,13,1
901,18,12,12,1
901,21,11,11,1
901,19,11,11,1
901,20,11,11,1
901,22,10,10,1
901,26,9,9,1
901,24,9,9,1
901,23,9,9,1
901,27,8,8,1
901,28,8,8,1
901,25,8,8,1
901,35,7,7,1
901,32,7,7,1
901,29,7,7,1
901,31,7,7,1
901,30,7,7,1
901,41,6,6,1
901,43,6,6,1
901,38,6,6,1
901,34,6,6,1
901,40,6,6,1
901,33,6,6,1
901,37,6,6,1
901,36,6,6,1
901,53,5,5,1
901,48,5,5,1
901,46,5,5,1
901,44,5,5,1
901,42,5,5,1
901,39,5,5,1
901,70,4,4,1
901,65,4,4,1
901,57,4,4,1
901,61,4,4,1
901,54,4,4,1
901,51,4,4,1
961,5,44,44,1
961,6,36,36,1
961,7,31,31,1
961,8,27,27,1
961,9,25,25,1
961,10,22,22,1
961,11,20,20,1
961,12,18,18,1
961,13,17,17,1
961,14,16,16,1
961,15,14,14,1
961,17,13,13,1
961,16,13,13,1
961,19,12,12,1
961,18,12,12,1
961,21,11,11,1
961,20,11,11,1
961,23,10,10,1
961,22,10,10,1
961,26,9,9,1
961,25,9,9,1
961,24,9,9,1
961,31,8,8,1
961,27,8,8,1
961,28,8,8,1
961,29,7,7,1
961,30,7,7,1
961,37,6,6,1
961,42,6,6,1
961,36,6,6,1
961,39,6,6,1
961,35,6,6,1
961,34,6,6,1
961,38,6,6,1
961,33,6,6,1
961,32,6,6,1
961,46,5,5,1
961,44,5,5,1
961,51,5,5,1
961,49,5,5,1
961,41,5,5,1
961,47,5,5,1
961,43,5,5,1
961,45,5,5,1
961,40,5,5,1
961,69,4,4,1
961,57,4,4,1
961,54,4,4,1
961,65,4,4,1
961,61,4,4,1
1021,5,36,36,1
1021,6,36,36,1
1021,7,32,32,1
1021,8,28,28,1
1021,9,24,24,1
1021,10,22,22,1
1021,11,20,20,1
1021,12,18,18,1
1021,13,17,17,1
1021,14,16,16,1
1021,16,14,14,1
1021,15,14,14,1
1021,19,12,12,1
1021,18,12,12,1
1021,17,12,12,1
1021,21,11,11,1
1021,20,11,11,1
1021,22,10,10,1
1021,25,9,9,1
1021,24,9,9,1
1021,23,9,9,1
1021,31,8,8,1
1021,27,8,8,1
1021,28,8,8,1
1021,26,8,8,1
1021,33,7,7,1
1021,32,7,7,1
1021,29,7,7,1
1021,30,7,7,1
1021,41,6,6,1
1021,38,6,6,1
1021,37,6,6,1
1021,40,6,6,1
1021,36,6,6,1
1021,35,6,6,1
1021,34,6,6,1
1021,49,5,5,1
1021,43,5,5,1
1021,47,5,5,1
1021,45,5,5,1
1021,42,5,5,1
1021,39,5,5,1
1021,44,5,5,1
1021,64,4,4,1
1021,57,4,4,1
1021,54,4,4,1
1021,61,4,4,1
1021,65,4,4,1
1021,52,4,4,1
1021,58,4,4,1
1081,6,36,36,1
1081,7,31,31,1
1081,8,27,27,1
1081,5,24,24,1
1081,9,24,24,1
1081,10,22,22,1
1081,11,20,20,1
1081,12,18,18,1
1081,13,17,17,1
1081,14,15,15,1
1081,16,14,14,1
1081,15,14,14,1
1081,17,13,13,1
1081,19,12,12,1
1081,18,12,12,1
1081,20,11,11,1
1081,23,10,10,1
1081,21,10,10,1
1081,22,10,10,1
1081,26,9,9,1
1081,25,9,9,1
1081,24,9,9,1
1081,28,8,8,1
1081,27,8,8,1
1081,35,7,7,1
1081,31,7,7,1
1081,34,7,7,1
1081,32,7,7,1
1081,33,7,7,1
1081,29,7,7,1
1081,30,7,7,1
1081,39,6,6,1
1081,38,6,6,1
1081,37,6,6,1
1081,36,6,6,1
1081,47,5,5,1
1081,52,5,5,1
1081,42,5,5,1
1081,50,5,5,1
1081,44,5,5,1
1081,48,5,5,1
1081,46,5,5,1
1081,41,5,5,1
1081,43,5,5,1
1081,40,5,5,1
1081,57,4,4,1
1081,68,4,4,1
1081,64,4,4,1
1081,61,4,4,1
1081,55,4,4,1
1141,6,36,36,1
1141,7,32,32,1
1141,8,28,28,1
1141,9,25,25,1
1141,10,22,22,1
1141,11,20,20,1
1141,12,18,18,1
1141,13,17,17,1
1141,14,16,16,1
1141,16,14,14,1
1141,15,14,14,1
1141,17,13,13,1
1141,5,12,12,1
1141,18,12,12,1
1141,19,11,11,1
1141,20,11,11,1
1141,22,10,10,1
1141,23,10,10,1
1141,21,10,10,1
1141,26,9,9,1
1141,25,9,9,1
1141,24,9,9,1
1141,28,8,8,1
1141,27,8,8,1
1141,31,7,7,1
1141,32,7,7,1
1141,33,7,7,1
1141,34,7,7,1
1141,29,7,7,1
1141,30,7,7,1
1141,37,6,6,1
1141,41,6,6,1
1141,36,6,6,1
1141,35,6,6,1
1141,40,6,6,1
1141,52,5,5,1
1141,44,5,5,1
1141,50,5,5,1
1141,46,5,5,1
1141,48,5,5,1
1141,43,5,5,1
1141,45,5,5,1
1141,39,5,5,1
1141,42,5,5,1
1141,38,5,5,1
1141,64,4,4,1
1141,55,4,4,1
1141,68,4,4,1
1141,61,4,4,1
1141,58,4,4,1
1201,6,36,36,1
1201,7,31,31,1
1201,8,27,27,1
1201,9,24,24,1
1201,10,22,22,1
1201,11,20,20,1
1201,12,18,18,1
1201,13,17,17,1
1201,14,16,16,1
1201,15,14,14,1
1201,17,13,13,1
1201,16,13,13,1
1201,18,12,12,1
1201,19,11,11,1
1201,20,11,11,1
1201,22,10,10,1
1201,21,10,10,1
1201,23,9,9,1
1201,24,9,9,1
1201,28,8,8,1
1201,27,8,8,1
1201,26,8,8,1
1201,25,8,8,1
1201,31,7,7,1
1201,32,7,7,1
1201,29,7,7,1
1201,33,7,7,1
1201,30,7,7,1
1201,43,6,6,1
1201,39,6,6,1
1201,38,6,6,1
1201,37,6,6,1
1201,36,6,6,1
1201,34,6,6,1
1201,35,6,6,1
1201,45,5,5,1
1201,42,5,5,1
1201,47,5,5,1
1201,41,5,5,1
1201,44,5,5,1
1201,40,5,5,1
1201,67,4,4,1
1201,71,4,4,1
1201,55,4,4,1
1201,64,4,4,1
1201,58,4,4,1
1201,53,4,4,1
1201,61,4,4,1
1201,51,4,4,1
1201,49,4,4,1
1261,7,31,31,1
1261,6,30,30,1
1261,8,28,28,1
1261,9,24,24,1
1261,10,22,22,1
1261,11,20,20,1
1261,12,18,18,1
1261,13,17,17,1
1261,14,15,15,1
1261,16,14,14,1
1261,15,14,14,1
1261,17,13,13,1
1261,18,12,12,1
1261,19,11,11,1
1261,20,11,11,1
1261,23,10,10,1
1261,22,10,10,1
1261,21,10,10,1
1261,24,9,9,1
1261,25,9,9,1
1261,27,8,8,1
1261,26,8,8,1
1261,29,8,8,1
1261,31,7,7,1
1261,32,7,7,1
1261,28,7,7,1
1261,30,7,7,1
1261,41,6,6,1
1261,40,6,6,1
1261,33,6,6,1
1261,34,6,6,1
1261,37,6,6,1
1261,35,6,6,1
1261,36,6,6,1
1261,47,5,5,1
1261,49,5,5,1
1261,51,5,5,1
1261,44,5,5,1
1261,39,5,5,1
1261,46,5,5,1
1261,43,5,5,1
1261,38,5,5,1
1261,42,5,5,1
1261,55,4,4,1
1261,53,4,4,1
1261,67,4,4,1
1261,58,4,4,1
1261,64,4,4,1
1261,61,4,4,1
1261,56,4,4,1
1321,7,32,32,1
1321,8,27,27,1
1321,9,25,25,1
1321,10,22,22,1
1321,6,20,20,1
1321,11,20,20,1
1321,12,18,18,1
1321,13,17,17,1
1321,14,16,16,1
1321,16,14,14,1
1321,15,14,14,1
1321,17,13,13,1
1321,19,12,12,1
1321,18,12,12,1
1321,21,11,11,1
1321,20,11,11,1
1321,22,10,10,1
1321,27,9,9,1
1321,25,9,9,1
1321,26,9,9,1
1321,23,9,9,1
1321,24,9,9,1
1321,29,8,8,1
1321,28,8,8,1
1321,34,7,7,1
1321,35,7,7,1
1321,31,7,7,1
1321,32,7,7,1
1321,30,7,7,1
1321,39,6,6,1
1321,38,6,6,1
1321,37,6,6,1
1321,36,6,6,1
1321,33,6,6,1
1321,49,5,5,1
1321,53,5,5,1
1321,51,5,5,1
1321,43,5,5,1
1321,46,5,5,1
1321,48,5,5,1
1321,42,5,5,1
1321,45,5,5,1
1321,41,5,5,1
1321,40,5,5,1
1321,44,5,5,1
1321,63,4,4,1
1321,70,4,4,1
1321,58,4,4,1
1321,61,4,4,1
1321,64,4,4,1
1381,7,31,31,1
1381,8,28,28,1
1381,9,24,24,1
1381,10,22,22,1
1381,11,20,20,1
1381,12,18,18,1
1381,13,17,17,1
1381,14,16,16,1
1381,16,14,14,1
1381,15,14,14,1
1381,17,13,13,1
1381,18,12,12,1
1381,19,12,12,1
1381,21,11,11,1
1381,20,11,11,1
1381,22,10,10,1
1381,6,10,10,1
1381,24,9,9,1
1381,25,9,9,1
1381,23,9,9,1
1381,29,8,8,1
1381,28,8,8,1
1381,27,8,8,1
1381,26,8,8,1
1381,33,7,7,1
1381,34,7,7,1
1381,31,7,7,1
1381,32,7,7,1
1381,30,7,7,1
1381,42,6,6,1
1381,41,6,6,1
1381,40,6,6,1
1381,35,6,6,1
1381,39,6,6,1
1381,36,6,6,1
1381,38,6,6,1
1381,37,6,6,1
1381,48,5,5,1
1381,45,5,5,1
1381,50,5,5,1
1381,44,5,5,1
1381,47,5,5,1
1381,43,5,5,1
1381,66,4,4,1
1381,63,4,4,1
1381,58,4,4,1
1381,56,4,4,1
1381,61,4,4,1
1381,54,4,4,1
1381,52,4,4,1
1441,7,32,32,1
